counter;priority;category;thread;message
16;INFO;com.eibus.management.AlertSystem;cn=Application Server,cn=monitor@appworks,cn=monitorsoapnode@appworks,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com-OutputStream;[Alert ID=Cordys.ESBServer.Messages.soapProcessorStarted] The Service Container cn=Security Administration,cn=Security Administration,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com has been started.
15;INFO;com.eibus.management.AlertSystem;startProcessorInThreadGroup cn=Security Administration,cn=Security Administration,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com;[Alert ID=Cordys.ESBServer.Messages.runningStateChangeActivate] Service container 'cn=Security Administration,cn=Security Administration,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' is being resumed...
14;INFO;com.eibus.management.AlertSystem;cn=Application Server,cn=monitor@appworks,cn=monitorsoapnode@appworks,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com-OutputStream;[Alert ID=Cordys.ESBServer.Messages.soapProcessorStarted] The Service Container cn=XForms,cn=XForms,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com has been started.
13;INFO;com.eibus.management.AlertSystem;startProcessorInThreadGroup cn=XForms,cn=XForms,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com;[Alert ID=Cordys.ESBServer.Messages.runningStateChangeActivate] Service container 'cn=XForms,cn=XForms,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' is being resumed...
12;INFO;com.eibus.management.AlertSystem;cn=Application Server,cn=monitor@appworks,cn=monitorsoapnode@appworks,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com-OutputStream;[Alert ID=Cordys.ESBServer.Messages.soapProcessorStarted] The Service Container cn=Event Handling,cn=Event Handling,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com has been started.
11;INFO;com.eibus.management.AlertSystem;startProcessorInThreadGroup cn=Event Handling,cn=Event Handling,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com;[Alert ID=Cordys.ESBServer.Messages.runningStateChangeActivate] Service container 'cn=Event Handling,cn=Event Handling,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' is being resumed...
10;INFO;com.eibus.management.AlertSystem;cn=Application Server,cn=monitor@appworks,cn=monitorsoapnode@appworks,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com-OutputStream;[Alert ID=Cordys.ESBServer.Messages.soapProcessorStarted] The Service Container cn=Platform,cn=Platform,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com has been started.
9;INFO;com.eibus.management.AlertSystem;startProcessorInThreadGroup cn=Platform,cn=Platform,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com;[Alert ID=Cordys.ESBServer.Messages.runningStateChangeActivate] Service container 'cn=Platform,cn=Platform,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' is being resumed...
7;INFO;com.eibus.management.AlertSystem;cn=Application Server,cn=monitor@appworks,cn=monitorsoapnode@appworks,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com-OutputStream;[Alert ID=Cordys.ESBServer.Messages.soapProcessorStarted] The Service Container cn=Repository,cn=Repository,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com has been started.
6;INFO;com.eibus.management.AlertSystem;startProcessorInThreadGroup cn=Repository,cn=Repository,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com;[Alert ID=Cordys.ESBServer.Messages.runningStateChangeActivate] Service container 'cn=Repository,cn=Repository,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' is being resumed...
5;INFO;com.eibus.management.AlertSystem;cn=Application Server,cn=monitor@appworks,cn=monitorsoapnode@appworks,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com-OutputStream;[Alert ID=Cordys.ESBServer.Messages.soapProcessorStarted] The Service Container cn=LDAP,cn=LDAP,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com has been started.
4;INFO;com.eibus.management.AlertSystem;startProcessorInThreadGroup cn=LDAP,cn=LDAP,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com;[Alert ID=Cordys.ESBServer.Messages.runningStateChangeActivate] Service container 'cn=LDAP,cn=LDAP,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' is being resumed...
